D_TRA1_1_SPOT1,A1,A3_1,A3_4,A3_6,A3_11,A3_15,A3_19,A3_21,A6_4,D_TRA1_S_Day,A10A,A10F,A3sum,D_TRA1_SMONTH_8.0,A2_1_1.0,A2_1_10.0,A2_1_14.0,A2_1_3.0,A2_1_8.0,A4_1_6.0,A4_1_7.0,A4_1_9.0,BARA_11,BARA_21,BARA_22,BARA_23,BARA_24,BARA_26,BARA_29,BARA_32,BARA_33,BARA_35,BARA_36,BARA_37,BARA_39
31010.0,0.0,0.5166666666666667,0.25,0.4666666666666667,0.016666666666666666,0.08333333333333333,0.0,0.0,0.016666666666666666,0.25,0.0,6775.0,2.283333333333333,0.1,0.06666666666666667,0.0,0.11666666666666667,0.1,0.03333333333333333,0.016666666666666666,0.21666666666666667,0.016666666666666666,0.23333333333333334,0.0,0.0,0.1,0.0,0.016666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.05,0.03333333333333333,0.0,0.03333333333333333
31020.0,0.0,0.6470588235294118,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,3764.705882352941,1.7058823529411764,0.0,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.23529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
31030.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,19998.18181818182,1.6363636363636365,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
31040.0,0.0,0.4444444444444444,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,6665.555555555556,2.3333333333333335,0.3333333333333333,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.5555555555555556,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31050.0,0.0,0.52,0.0,0.24,0.04,0.04,0.0,0.0,0.0,0.12,0.0,11320.0,2.16,0.08,0.16,0.04,0.04,0.08,0.0,0.0,0.16,0.0,0.2,0.0,0.0,0.52,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
31060.0,0.0,0.7368421052631579,0.15789473684210525,0.3157894736842105,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,19737.36842105263,2.3157894736842106,0.21052631578947367,0.10526315789473684,0.0,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0
31070.0,0.0,0.6111111111111112,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.6666666666666666,0.0,6501.111111111111,2.0555555555555554,0.05555555555555555,0.2222222222222222,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.2777777777777778,0.0,0.16666666666666666,0.0,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
31080.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,9166.666666666666,2.1666666666666665,0.0,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.5833333333333334,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31090.0,0.01818181818181818,0.9090909090909091,0.0,0.6363636363636364,0.03636363636363636,0.01818181818181818,0.0,0.0,0.01818181818181818,0.38181818181818183,1600.0,5073.272727272727,2.5090909090909093,0.05454545454545454,0.16363636363636364,0.01818181818181818,0.01818181818181818,0.09090909090909091,0.12727272727272726,0.0,0.34545454545454546,0.0,0.41818181818181815,0.0,0.0,0.34545454545454546,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0
31100.0,0.038461538461538464,0.5961538461538461,0.038461538461538464,0.3269230769230769,0.09615384615384616,0.0,0.0,0.07692307692307693,0.038461538461538464,0.23076923076923078,4038.4615384615386,17230.576923076922,2.019230769230769,0.09615384615384616,0.09615384615384616,0.0,0.11538461538461539,0.07692307692307693,0.057692307692307696,0.0,0.25,0.0,0.40384615384615385,0.0,0.019230769230769232,0.21153846153846154,0.038461538461538464,0.038461538461538464,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
31110.0,0.018518518518518517,0.48148148148148145,0.0,0.2962962962962963,0.05555555555555555,0.0,0.018518518518518517,0.0,0.018518518518518517,0.12962962962962962,2222.222222222222,24805.37037037037,2.037037037037037,0.037037037037037035,0.2222222222222222,0.018518518518518517,0.12962962962962962,0.037037037037037035,0.0,0.0,0.35185185185185186,0.0,0.25925925925925924,0.018518518518518517,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0
31120.0,0.0,0.6363636363636364,0.0,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,2272.7272727272725,1.8181818181818181,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
31130.0,0.01694915254237288,0.7457627118644068,0.05084745762711865,0.4915254237288136,0.05084745762711865,0.0,0.0,0.0,0.03389830508474576,0.13559322033898305,508.47457627118644,7271.35593220339,2.3220338983050848,0.03389830508474576,0.11864406779661017,0.0,0.06779661016949153,0.13559322033898305,0.05084745762711865,0.0,0.3559322033898305,0.0,0.6101694915254238,0.0,0.0,0.11864406779661017,0.03389830508474576,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0
31140.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,20748.333333333332,2.1666666666666665,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
31150.0,0.0,0.8636363636363636,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.18181818181818182,0.0,9364.09090909091,2.090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.0,0.22727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31160.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31170.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,7142.857142857143,1.8571428571428572,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
